order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,state,region,product_name,category,sub_category,sales,quantity,discount,profit
CA-2020-100000,2020-01-01,2020-01-08,Same Day,CG-10408,Customer_103,Consumer,Washington,West,Pen Set,Office Supplies,Labels,50.21,7,0.3,-14.18
CA-2020-100001,2020-01-01,2020-01-05,Standard Class,CG-10395,Customer_239,Corporate,Texas,Central,Samsung Galaxy,Technology,Accessories,551.31,5,0.5,-711.55
CA-2020-100002,2020-01-01,2020-01-06,Second Class,CG-10473,Customer_112,Consumer,Arizona,West,Sony Headphones,Technology,Computers,438.86,1,0.2,21.17
CA-2020-100003,2020-01-01,2020-01-08,Same Day,CG-10439,Customer_32,Home Office,Virginia,East,Stapler,Office Supplies,Labels,111.88,3,0.0,85.55
CA-2020-100004,2020-01-01,2020-01-04,First Class,CG-10469,Customer_252,Consumer,Missouri,Central,Sofa,Furniture,Bookcases,314.2,2,0.1,76.21
CA-2020-100005,2020-01-01,2020-01-06,Same Day,CG-10384,Customer_27,Consumer,North Carolina,East,Sony Headphones,Technology,Phones,1422.92,7,0.1,1602.34
CA-2020-100006,2020-01-01,2020-01-06,Same Day,CG-10071,Customer_290,Home Office,Ohio,East,Conference Table,Furniture,Tables,586.5,7,0.3,-231.89
CA-2020-100007,2020-01-02,2020-01-09,First Class,CG-10483,Customer_117,Consumer,Wisconsin,Central,Ergonomic Chair,Furniture,Furnishings,158.83,7,0.4,-207.71
CA-2020-100008,2020-01-02,2020-01-04,Second Class,CG-10176,Customer_137,Corporate,Arizona,West,Manila Folders,Office Supplies,Labels,31.92,4,0.4,-20.53
CA-2020-100009,2020-01-02,2020-01-05,Second Class,CG-10450,Customer_159,Corporate,North Carolina,East,Canon Copier,Technology,Computers,1621.69,2,0.0,976.95
CA-2020-100010,2020-01-02,2020-01-09,Second Class,CG-10021,Customer_74,Corporate,New York,East,Samsung Galaxy,Technology,Phones,1138.69,4,0.0,837.52
CA-2020-100011,2020-01-02,2020-01-05,Second Class,CG-10369,Customer_214,Consumer,Wisconsin,Central,Pen Set,Office Supplies,Art,34.37,7,0.1,25.15
CA-2020-100012,2020-01-02,2020-01-05,Same Day,CG-10487,Customer_51,Consumer,Wisconsin,Central,Filing Cabinet,Furniture,Furnishings,813.1,4,0.4,-362.83
CA-2020-100013,2020-01-02,2020-01-07,Same Day,CG-10468,Customer_161,Consumer,Texas,Central,Office Chair,Furniture,Chairs,936.9,5,0.4,-897.32
CA-2020-100014,2020-01-03,2020-01-07,First Class,CG-10084,Customer_189,Corporate,Wisconsin,Central,Apple iPad,Technology,Accessories,685.54,5,0.0,895.42
CA-2020-100015,2020-01-03,2020-01-06,Standard Class,CG-10030,Customer_236,Consumer,Missouri,Central,Sticky Notes,Office Supplies,Binders,82.58,2,0.2,7.96
CA-2020-100016,2020-01-03,2020-01-09,First Class,CG-10384,Customer_83,Home Office,Arkansas,South,Binders Pack,Office Supplies,Fasteners,48.5,5,0.1,44.0
CA-2020-100017,2020-01-03,2020-01-08,Second Class,CG-10232,Customer_283,Consumer,Indiana,Central,Office Chair,Furniture,Bookcases,166.94,2,0.0,58.37
CA-2020-100018,2020-01-03,2020-01-05,Standard Class,CG-10410,Customer_139,Corporate,Colorado,West,Bookcase,Furniture,Tables,497.89,7,0.0,527.11
CA-2020-100019,2020-01-03,2020-01-07,First Class,CG-10257,Customer_234,Home Office,Florida,East,Stapler,Office Supplies,Fasteners,107.81,7,0.2,32.03
CA-2020-100020,2020-01-03,2020-01-09,Second Class,CG-10376,Customer_28,Home Office,Utah,West,HP Laptop,Technology,Accessories,898.7,5,0.0,897.71
CA-2020-100021,2020-01-04,2020-01-10,Standard Class,CG-10348,Customer_138,Corporate,Arizona,West,Ergonomic Chair,Furniture,Furnishings,503.86,5,0.0,532.75
CA-2020-100022,2020-01-04,2020-01-06,Standard Class,CG-10489,Customer_291,Home Office,Tennessee,South,Stapler,Office Supplies,Paper,57.9,7,0.2,27.94
CA-2020-100023,2020-01-04,2020-01-08,Second Class,CG-10493,Customer_274,Home Office,Wisconsin,Central,Scissors,Office Supplies,Labels,69.93,4,0.0,73.72
CA-2020-100024,2020-01-04,2020-01-09,Standard Class,CG-10384,Customer_133,Home Office,North Carolina,East,Manila Folders,Office Supplies,Art,51.71,3,0.0,41.55
CA-2020-100025,2020-01-04,2020-01-05,First Class,CG-10297,Customer_158,Home Office,Colorado,West,Sony Headphones,Technology,Copiers,1154.29,5,0.0,1622.55
CA-2020-100026,2020-01-04,2020-01-08,First Class,CG-10391,Customer_196,Home Office,Illinois,Central,Office Chair,Furniture,Bookcases,149.85,6,0.4,-123.83
CA-2020-100027,2020-01-04,2020-01-06,First Class,CG-10290,Customer_190,Consumer,Indiana,Central,Conference Table,Furniture,Chairs,920.45,6,0.1,1145.83
CA-2020-100028,2020-01-05,2020-01-11,Standard Class,CG-10108,Customer_176,Corporate,Kentucky,South,Executive Desk,Furniture,Chairs,263.4,6,0.0,544.69
CA-2020-100029,2020-01-05,2020-01-10,Standard Class,CG-10034,Customer_112,Corporate,Mississippi,South,Apple iPad,Technology,Copiers,1189.69,5,0.5,-1807.43
CA-2020-100030,2020-01-05,2020-01-09,Second Class,CG-10390,Customer_152,Consumer,Tennessee,South,Office Chair,Furniture,Tables,550.08,2,0.4,-126.96
CA-2020-100031,2020-01-05,2020-01-06,Second Class,CG-10278,Customer_81,Consumer,Florida,East,Office Chair,Furniture,Tables,885.34,4,0.5,-1154.62
CA-2020-100032,2020-01-05,2020-01-06,Standard Class,CG-10022,Customer_171,Corporate,Oregon,West,Conference Table,Furniture,Chairs,939.88,6,0.4,-575.83
CA-2020-100033,2020-01-05,2020-01-08,First Class,CG-10234,Customer_200,Corporate,Alabama,South,Office Chair,Furniture,Furnishings,295.55,7,0.4,-342.58
